0.000,0.100,-0.080,-0.570,-0.660
0.002,0.110,-0.060,-0.560,-0.660
0.004,0.130,-0.060,-0.550,-0.670
0.006,0.140,-0.070,-0.550,-0.680
0.008,0.150,-0.070,-0.550,-0.680
0.010,0.150,-0.050,-0.540,-0.670
0.012,0.180,-0.040,-0.540,-0.690
0.014,0.210,-0.030,-0.550,-0.730
0.016,0.230,-0.020,-0.560,-0.750
0.018,0.250,-0.010,-0.560,-0.750
0.020,0.250,0.000,-0.560,-0.760
0.022,0.250,0.000,-0.560,-0.750
0.024,0.250,-0.010,-0.560,-0.740
0.026,0.260,-0.020,-0.570,-0.760
0.028,0.270,-0.040,-0.580,-0.780
0.030,0.280,-0.060,-0.570,-0.790
0.032,0.290,-0.060,-0.560,-0.790
0.034,0.290,-0.060,-0.540,-0.780
0.036,0.280,-0.040,-0.540,-0.750
0.038,0.260,-0.010,-0.520,-0.690
0.040,0.250,-0.010,-0.510,-0.670
0.042,0.240,-0.030,-0.520,-0.690
0.044,0.250,-0.040,-0.520,-0.700
0.046,0.250,-0.060,-0.510,-0.700
0.048,0.250,-0.060,-0.500,-0.690
0.050,0.230,-0.040,-0.480,-0.660
0.052,0.190,0.000,-0.450,-0.620
0.054,0.180,0.000,-0.450,-0.600
0.056,0.170,-0.020,-0.470,-0.590
0.058,0.170,-0.040,-0.500,-0.610
0.060,0.170,-0.070,-0.510,-0.610
0.062,0.160,-0.090,-0.510,-0.600
0.064,0.150,-0.100,-0.500,-0.560
0.066,0.130,-0.090,-0.480,-0.510
0.068,0.120,-0.090,-0.470,-0.480
0.070,0.110,-0.080,-0.440,-0.440
0.072,0.090,-0.100,-0.430,-0.400
0.074,0.060,-0.130,-0.420,-0.370
0.076,0.030,-0.150,-0.400,-0.350
0.078,0.000,-0.170,-0.370,-0.320
0.080,-0.010,-0.150,-0.330,-0.280
0.082,-0.020,-0.130,-0.300,-0.250
0.084,-0.030,-0.130,-0.260,-0.220
0.086,-0.040,-0.130,-0.240,-0.190
0.088,-0.060,-0.140,-0.210,-0.160
0.090,-0.070,-0.160,-0.180,-0.130
0.092,-0.100,-0.170,-0.150,-0.110
0.094,-0.140,-0.160,-0.100,-0.060
0.096,-0.160,-0.140,-0.070,-0.020
0.098,-0.170,-0.120,-0.050,0.000
0.100,-0.190,-0.110,-0.040,0.010
0.102,-0.200,-0.110,-0.020,0.020
0.104,-0.210,-0.120,-0.020,0.040
0.106,-0.210,-0.140,-0.020,0.060
0.108,-0.220,-0.130,-0.010,0.070
0.110,-0.220,-0.130,-0.010,0.060
0.112,-0.210,-0.140,-0.010,0.070
0.114,-0.200,-0.140,-0.010,0.090
0.116,-0.200,-0.130,0.000,0.100
0.118,-0.220,-0.130,0.010,0.110
0.120,-0.230,-0.110,0.020,0.130
0.122,-0.240,-0.080,0.030,0.170
0.124,-0.230,-0.080,0.020,0.180
0.126,-0.220,-0.100,0.010,0.160
0.128,-0.210,-0.110,0.000,0.150
0.130,-0.210,-0.120,0.000,0.150
0.132,-0.220,-0.110,0.010,0.150
0.134,-0.230,-0.090,0.020,0.160
0.136,-0.250,-0.070,0.030,0.200
0.138,-0.260,-0.050,0.030,0.220
0.140,-0.260,-0.050,0.030,0.220
0.142,-0.250,-0.060,0.020,0.190
0.144,-0.240,-0.060,0.020,0.170
0.146,-0.230,-0.050,0.020,0.170
0.148,-0.210,-0.040,0.020,0.160
0.150,-0.210,-0.010,0.020,0.170
